price,want_person,look_time,area,title,url
100,0,25,"['广州', '天河']",21st scooter儿童滑板车,http://zhuanzhuan.58.com/detail/891669654163357707z.shtml
125,1,107,"['广州', '广州周边']",正版 青蛙弗洛格的成长故事10册 全新,http://zhuanzhuan.58.com/detail/807957872647716870z.shtml
40,0,11,"['广州', '天河']",BLACKMORES 澳佳宝维生素E软膏,http://zhuanzhuan.58.com/detail/863258234771718156z.shtml
1600,7,1292,"['广州', '越秀']",苹果 iPhone6 iphone6,http://zhuanzhuan.58.com/detail/853284682625433606z.shtml
1900,6,106,"['广州', '花都']",苹果笔记本个人苹果笔记本低价出售,http://zhuanzhuan.58.com/detail/892036227584393222z.shtml
400,4,1048,"['广州', '萝岗']",婴儿床，床垫，床围，蚊帐全套转让,http://zhuanzhuan.58.com/detail/787529558243721220z.shtml
50,5,783,"['广州', '番禺']",超美高跟鞋，速度来围观！白菜转卖！,http://zhuanzhuan.58.com/detail/720934290648203267z.shtml
200,0,9,"['广州', '花都']",冷藏冰柜，闲置，可以用，表面看起来脏而已，擦擦就好,http://zhuanzhuan.58.com/detail/892324089541328902z.shtml
2400,1,384,"['广州', '番禺']",greentom婴儿推车可坐可躺高景观便携宝宝推车轻便折叠,http://zhuanzhuan.58.com/detail/835393877139947525z.shtml
168,4,936,"['广州', '番禺']",西部数据硬盘,http://zhuanzhuan.58.com/detail/791883205875007492z.shtml
1800,0,128,"['广州', '番禺']",鬼火5月份买的新车,http://zhuanzhuan.58.com/detail/892088155340374023z.shtml
600,4,1928,"['广州', '白云']",苹果 iPhone5 iPhone5 急出,http://zhuanzhuan.58.com/detail/849653446689554444z.shtml
1600,4,1049,"['广州', '白云']","12年买的ThinkPadT420S,八千多的机器贱卖了",http://zhuanzhuan.58.com/detail/804240449349271559z.shtml
8,0,104,"['广州', '越秀']",行李牌,http://zhuanzhuan.58.com/detail/872761590875734025z.shtml
4700,0,370,"['广州', '花都']",苹果 iPhone7 苹果7,http://zhuanzhuan.58.com/detail/886625283233873932z.shtml
78,0,9,"['广州', '荔湾']",神秘现象探索（苗兴壮揭秘灵界生命，探索灵魂奥秘，探【正版】,http://zhuanzhuan.58.com/detail/884242440475967497z.shtml
20,0,3,"['广州', '白云']",我们用事实说话欢迎各位朋友鉴证!我们用事实说话欢,http://zhuanzhuan.58.com/detail/892028127683969031z.shtml
12,0,4,"['广州', '海珠']",富爸爸房地产头投资指南,http://zhuanzhuan.58.com/detail/891548550702039563z.shtml
2700,0,41,"['深圳', '宝安']",iPad5代新款2017128G,http://zhuanzhuan.58.com/detail/892247889674289165z.shtml
130,0,22,"['广州', '增城']",按摩器,http://zhuanzhuan.58.com/detail/891697362626117643z.shtml
750,1,125,"['广州', '海珠']",德国quinny婴儿推车,http://zhuanzhuan.58.com/detail/885446381535068172z.shtml
10,0,14,"['广州', '海珠']",小学生组词造句词典,http://zhuanzhuan.58.com/detail/891998361481035789z.shtml
2370,1,481,"['广州', '天河']",全新国行2017款ipad,http://zhuanzhuan.58.com/detail/876654323565527048z.shtml
1399,13,629,"['广州', '番禺']",苹果 iPhone6 Plus 苹果6plus  ，   5.5寸，金色国行全网通4g,http://zhuanzhuan.58.com/detail/891913747339214856z.shtml
800,1,352,"['广州', '黄埔']",原价1750元TCL大一匹空调低价800处理,http://zhuanzhuan.58.com/detail/890759400759230470z.shtml
5,0,553,"['广州', '海珠']",九成新《21世纪商业评论》。,http://zhuanzhuan.58.com/detail/765587675048574978z.shtml
